wind_farm_name,LAT,LON,area,country,commissioning_year,installed_capacity_MW,turbine_model,foundation_type,water_depth_m,distance_from_shore_km,total_project_budget,turbine_costs,foundation_costs,array_cable_costs,export_cable_costs,offshore_substation_costs,offshore_installation_costs,OPEX_per_MWh,inflation_rate,capacity_factor,WACC,discount_rate,project_lifetime_years,foundation_scope,mean_wind_speed_mps,mean_wave_height_m,total_project_budget_eur,total_project_budget_eur_indexed,data_quality_flag
Lincs,53.183,0.483,,UK,2013.0,270.0,Siemens SWT-3.6-120,Monopile,13.0,8.0,GBP 1 billion,,,,,,,,,,,,25.0,Unknown,8.995110711592531,9.0,1225340000.0,1585107948.560255,indexed_13y
Lynn and Inner Dowsing,53.127,0.436,,UK,2009.0,194.0,Siemens SWT-3.6-107,Monopile,11.15,5.2,EUR 349 million,,,,,,,,,,,,25.0,Unknown,8.995578660277344,9.0,349000000.0,488684255.29815626,indexed_17y
Kentish Flats,51.46,1.09,,UK,2005.0,90.0,Vestas V90-3.0 MW,Monopile,6.5,9.45,GBP 105 million,,,,,,,,,,,,25.0,Unknown,8.621741127578625,9.0,148925595.0,225721512.08647263,indexed_21y
Scroby Sands,52.65,1.78,,UK,2004.0,60.0,Vestas V80-2.0 MW,Monopile,16.5,2.5,GBP 75.5 million,,,,,,,,,,,,25.0,Unknown,9.19869289542277,9.0,107122571.0,165609317.04724586,indexed_22y
Rampion,50.666,-0.266,,UK,2018.0,400.0,Vestas V112-3.45 MW,Monopile,29.5,19.0,GBP 1.3 billion,,,,,,,,,,,,25.0,Unknown,9.213718519093261,9.0,1465233900.0,1716755044.2975357,indexed_8y
Humber Gateway,53.64278987612652,0.296802300153941,35.0,UK,2015.0,219.0,Vestas V112-3.0 MW,Monopile,15.0,8.0,GBP 700 million,,,,,,,,,,,,25.0,Unknown,9.300777670282304,9.0,898703400.0,1117424718.4269228,indexed_11y
Westermost Rough,53.78104801813828,0.2148424662161718,35.0,UK,2015.0,210.0,Siemens SWT-6.0-154,Monopile,,8.0,GBP 800 million,,,,,,,,,,,,25.0,Unknown,9.540545798034914,9.0,1027089600.0,1277056821.0593402,indexed_11y
Neart na Gaoithe,56.275,-2.245,105.0,UK,2025.0,450.0,Siemens Gamesa SG 8.0-167 DD,Jacket,50.0,15.5,GBP 1.8 billion,,,,,,,,,,,,25.0,Unknown,9.19006606751377,9.0,2170819800.0,2170819800.0,recent
Inch Cape,56.5,-2.17,150.0,UK,2027.0,1080.0,Vestas V236-15.0 MW,Monopile / Jacket,49.0,15.0,GBP 3.5 billion,,,,,,,,,0.60,,,25.0,Unknown,8.834458956198533,9.0,4032119000.0,4032119000.0,recent
Galloper,51.86653342228734,1.9269606847383245,147.0,UK,2018.0,353.0,Siemens SWT-6.0-154,Monopile,31.5,27.0,GBP 1.5 billion,,,,,,,,,,,,25.0,Unknown,9.134975890894655,9.0,1690654500.0,1980871204.9586952,indexed_8y
