wind_farm_name,LAT,LON,area,country,commissioning_year,installed_capacity_MW,turbine_model,foundation_type,water_depth_m,distance_from_shore_km,total_project_budget,turbine_costs,foundation_costs,array_cable_costs,export_cable_costs,offshore_substation_costs,offshore_installation_costs,OPEX_per_MWh,inflation_rate,capacity_factor,WACC,discount_rate,project_lifetime_years,foundation_scope,mean_wind_speed_mps,mean_wave_height_m,total_project_budget_eur,total_project_budget_eur_indexed,data_quality_flag
Yeu-Noirmoutier,46.95,-2.47,,France,2025.0,496.0,Siemens Gamesa SG 8.0 MW,Monopile,27.5,11.7,EUR 2-2.5 billion,,,,,,,,,,,,22.5,Unknown,8.504974377681016,9.0,2250000000.0,2250000000.0,recent
Dunkirk,51.12,2.1,,France,2028.0,600.0,,Monopile,30.0,10.0,EUR 1.4 billion,,,,,,,,,,,,25.0,Unknown,9.313147892758671,9.0,1400000000.0,1400000000.0,recent
Provence Grand Large,43.33,5.1,,France,2025.0,25.0,Siemens Gamesa SG 8.0 MW,Floating TLP,85.0,17.0,EUR 300 million,,,,,,,,,,,,25.0,Unknown,8.701995174804694,9.0,300000000.0,300000000.0,recent
EolMed,42.85,3.2,,France,2025.0,30.0,Vestas V164-10.0 MW,Floating damping pool,60.0,16.5,EUR 212 million,,,,,,,,,,,,25.0,Unknown,9.534640636788268,9.0,212000000.0,212000000.0,recent
Centre Manche 2,49.55,-1.25,,France,2033.0,1500.0,,,,40.0,EUR 4.5 billion,,,,,,,,,,,,25.0,Unknown,8.102677766938584,9.0,4500000000.0,4500000000.0,recent
Arklow Bank Phase 2,52.8,-5.9,,Ireland,2029.0,800.0,,Monopile,,10.0,EUR 2.5 billion,,,,,,,,,,,,25.0,Unknown,9.01264411842309,9.0,2500000000.0,2500000000.0,recent
Baltic Power,55.1,17.5,,Poland,2026.0,1140.0,Vestas V236-15.0 MW,Monopile,40.0,23.0,PLN 10 billion,,,,,,,,,,,,25.0,Unknown,9.124365839347432,9.0,2369110000.0,2369110000.0,recent
Baltica 2,55.15,17.3,,Poland,2027.0,1498.0,Siemens Gamesa SG 14-222 DD,Monopile,32.5,40.0,PLN 30 billion (combined 2+3),,,,,,,,,,,,25.0,Unknown,9.167812867098968,9.0,2751373333.3333335,2751373333.3333335,recent
MFW Baltyk II,55.08,16.9,,Poland,2028.0,720.0,Siemens Gamesa SG 14-236 DD,Monopile,32.5,37.0,PLN 27 billion (combined II+III),,,,,,,,,,,,25.0,Unknown,9.157893255593356,9.0,6367464000.0,6367464000.0,recent
MFW Baltyk III,55.12,16.85,,Poland,2028.0,720.0,Siemens Gamesa SG 14-236 DD,Monopile,32.5,22.0,PLN 27 billion (combined II+III),,,,,,,,,,,,25.0,Unknown,9.201394742487848,9.0,6367464000.0,6367464000.0,recent
BC-Wind,55.18,17.2,,Poland,2028.0,390.0,14 MW class,,,23.0,EUR 2 billion,,,,,,,,,,,,25.0,Unknown,9.192007573305839,9.0,2000000000.0,2000000000.0,recent
WindFloat Atlantic,41.68,-9.0,,Portugal,2020.0,25.0,Vestas V164-8.4 MW,Floating semi-submersible,100.0,20.0,EUR 125 million,,,,,,,,,,,,25.0,Unknown,7.840153483706984,9.0,125000000.0,140770302.40800002,indexed_6y
Beleolico,40.47,18.5,,Italy,2022.0,30.0,MingYang MySE3.0-135,Monopile,11.0,3.0,EUR 80 million,,,,,,,,,,,,25.0,Unknown,7.350712963634209,9.0,80000000.0,80000000.0,recent
7 Seas Med,37.2,12.5,,Italy,,250.0,10 MW class,Floating TetraSpar,275.0,35.0,EUR 741 million,,,,,,,,,,,,25.0,Unknown,7.518279021549464,9.0,741000000.0,741000000.0,missing_budget_or_year
Med Wind,37.1,12.3,,Italy,,2800.0,MingYang 18.8 MW,Floating,,80.0,EUR 9.3 billion,,,,,,,,,,,,25.0,Unknown,7.551030388655434,9.0,9300000000.0,9300000000.0,missing_budget_or_year
