wind_farm_name,LAT,LON,area,country,commissioning_year,installed_capacity_MW,turbine_model,foundation_type,water_depth_m,distance_from_shore_km,total_project_budget,turbine_costs,foundation_costs,array_cable_costs,export_cable_costs,offshore_substation_costs,offshore_installation_costs,OPEX_per_MWh,inflation_rate,capacity_factor,WACC,discount_rate,project_lifetime_years,foundation_scope,mean_wind_speed_mps,mean_wave_height_m,total_project_budget_eur,total_project_budget_eur_indexed,data_quality_flag,unit_capex_eur_per_mw,unit_capex_eur_per_mw_indexed,productivity_gross_mwh_per_mw,productivity_net_mwh_per_mw,annual_energy_mwh,opex_eur_per_mw,annual_opex_eur,crf,annual_capex_eur,annual_capex_eur_indexed,lcoe_eur_per_mwh,lcoe_eur_per_mwh_indexed
Scroby Sands,52.65,1.78,,UK,2004.0,60.0,Vestas V80-2.0 MW,Monopile,16.5,2.0,GBP 75.5 million,,,,,,,,,0.5,,,25.0,Unknown,9.19869289542277,9.0,86825000.0,134229684.9151158,indexed_22y,2237161.4152519302,2237161.4152519302,4380.0,3723.0,223380.0,70000.0,4200000.0,0.0858105172206656,7450498.157684291,11518318.688933061,52.155511494691964,70.36582813561223
Rampion,50.666,-0.266,,UK,2018.0,400.0,Vestas V112-3.45 MW,Monopile,29.5,19.0,GBP 1.3 billion,,,,,,,,,0.5,,,25.0,Unknown,9.213718519093261,9.0,1495000000.0,1751630774.5983872,indexed_8y,4379076.936495968,4379076.936495968,4380.0,3723.0,1489200.0,70000.0,28000000.0,0.0858105172206656,128286723.24489507,150308342.74792272,104.94676554183123,119.73431557072436
Humber Gateway,53.64278987612652,0.296802300153941,35.0,UK,2015.0,219.0,Vestas V112-3.0 MW,Monopile,15.0,8.0,GBP 700 million,,,,,,,,,0.55,,,25.0,Unknown,9.300777670282304,9.0,804999999.9999999,1000916318.2576951,indexed_11y,4570394.147295412,4570394.147295412,4818.0,4095.2999999999997,896870.7,70000.0,15330000.0,0.0858105172206656,69077466.36263579,85889146.96429716,94.11330570018153,112.85812655525169
Westermost Rough,53.78104801813828,0.2148424662161718,35.0,UK,2015.0,210.0,Siemens SWT-6.0-154,Monopile,,8.0,GBP 800 million,,,,,,,,,0.55,,,25.0,Unknown,9.540545798034914,9.0,919999999.9999999,1143904363.7230802,indexed_11y,5447163.636776572,5447163.636776572,4818.0,4095.2999999999997,860013.0,70000.0,14700000.0,0.0858105172206656,78945675.84301235,98159025.1020539,108.88867475609362,131.22944083642213
Galloper,51.86653342228734,1.9269606847383245,147.0,UK,2018.0,353.0,Siemens SWT-6.0-154,Monopile,31.5,27.0,GBP 1.5 billion,,,,,,,,,0.5,,,25.0,Unknown,9.134975890894655,9.0,1724999999.9999998,2021112432.228908,indexed_8y,5725530.969486992,5725530.969486992,4380.0,3723.0,1314219.0,70000.0,24710000.0,0.0858105172206656,148023142.20564812,173432703.17068005,131.4340625159491,150.76840554784252
Sofia,54.9794,2.2301,593.0,UK,2027.0,1400.0,Siemens Gamesa SG 14-222 DD,Monopile,28.5,195.0,EUR 3 billion,,,,,,,,,0.55,,,25.0,Unknown,9.633046722312335,9.0,3000000000.0,3000000000.0,recent,2142857.1428571427,2142857.1428571427,4818.0,4095.2999999999997,5733420.0,90000.0,126000000.0,0.0858105172206656,257431551.6619968,257431551.6619968,66.87658529498917,66.87658529498917
Hywind Scotland,57.49809316673302,-1.6930264003753728,15.0,UK,2017.0,30.0,Siemens SWT-6.0-154,Floating spar buoy,107.5,29.0,GBP 264 million,,,,,,,,,0.55,,,25.0,Unknown,9.514400056059719,9.0,303600000.0,362830103.8337336,indexed_9y,12094336.794457788,12094336.794457788,4818.0,4095.2999999999997,122858.99999999999,70000.0,2100000.0,0.0858105172206656,26052073.028194077,31134638.873200487,229.14131669795523,270.51041334538365
Kincardine,57.0046,-1.8596,110.0,UK,2021.0,50.0,MHI Vestas V164-9.525 MW / Vestas V80-2.0 MW,Floating semi-submersible,70.0,15.0,GBP 350 million,,,,,,,,,0.5,,,25.0,Unknown,8.947472681016725,9.0,402499999.99999994,402499999.99999994,recent,8049999.999999999,8049999.999999999,4380.0,3723.0,186150.0,70000.0,3500000.0,0.0858105172206656,34538733.181317896,34538733.181317896,204.344524207993,204.344524207993
alpha ventus,54.0112,6.6078,4.0,Germany,2010.0,60.0,Senvion 5M / Adwen AD 5-116,Jacket / Tripod,30.0,52.5,EUR 250 million,,,,,,,,,0.55,,,15.0,Unknown,9.658556771433727,9.0,250000000.0,343196426.2726531,indexed_16y,5719940.437877552,5719940.437877552,4818.0,4095.2999999999997,245717.99999999997,80000.0,4800000.0,0.10979462470100648,27448656.17525162,37681122.82133259,131.2425470468245,172.8856771637918
EnBW Baltic 1,54.6139,12.6667,7.0,Germany,2011.0,48.3,Siemens SWT-2.3-93,Monopile,17.5,16.0,EUR 150 million,,,,,,,,,0.55,,,25.0,Unknown,9.465006406260613,9.0,150000000.0,201880250.7486195,indexed_15y,4179715.336410342,4179715.336410342,4818.0,4095.2999999999997,197802.98999999996,70000.0,3381000.0,0.0858105172206656,12871577.58309984,17323448.733376704,82.16547981959143,104.67207160709101
