wind_farm_name;LAT;LON;area;country;commissioning_year;installed_capacity_MW;turbine_model;foundation_type;water_depth_m;distance_from_shore_km;total_project_budget;turbine_costs;foundation_costs;array_cable_costs;export_cable_costs;offshore_substation_costs;offshore_installation_costs;OPEX_per_MWh;inflation_rate;capacity_factor;WACC;discount_rate;project_lifetime_years
Dunkirk;51,12;2,1;;France;2028;600;null;Monopile;30;10;EUR 1.4 billion;null;null;null;null;null;null;null;null;null;null;null;null
Provence Grand Large;43,33;5,1;;France;2025;25;Siemens Gamesa SG 8.0 MW;Floating TLP;70-100;17;EUR 300 million;null;null;null;null;null;null;null;null;null;null;null;null
EolMed;42,85;3,2;;France;2025;30;Vestas V164-10.0 MW;Floating damping pool;60;15-18;EUR 212 million;null;null;null;null;null;null;null;null;null;null;null;null
EFGL;42,95;3,25;;France;2025;30;Vestas V164-10.0 MW;Floating semi-submersible;65-80;16;null;null;null;null;null;null;null;null;null;null;null;null;null
Centre Manche 1;49,6;-1,3;;France;2030;1000;null;null;null;32;null;null;null;null;null;null;null;null;null;null;null;null;null
Centre Manche 2;49,55;-1,25;;France;2033;1500;null;null;null;40;EUR 4.5 billion;null;null;null;null;null;null;null;null;null;null;null;null
Sud-Atlantique I;45,9;-1,6;;France;2032;1000;null;null;null;40;null;null;null;null;null;null;null;null;null;null;null;null;null
Arklow Bank Phase 1;52,79;-5,95;;Ireland;2004;25.2;GE 3.6 MW;Monopile;null;10;null;null;null;null;null;null;null;null;null;null;null;null;null
Arklow Bank Phase 2;52,8;-5,9;;Ireland;2029;800;null;Monopile;null;10;EUR 2.5 billion;null;null;null;null;null;null;null;null;null;null;null;null
Codling Wind Park;53,1;-5,7;;Ireland;2030;1300;null;null;null;13-22;null;null;null;null;null;null;null;null;null;null;null;null;25
Dublin Array;53,2;-5,72;;Ireland;2030;824;null;null;null;10;null;null;null;null;null;null;null;null;null;null;null;null;null
Oriel;54;-5,9;;Ireland;2028;375;null;null;20;6;null;null;null;null;null;null;null;null;null;null;null;null;null
North Celtic Sea;51,7;-7,5;;Ireland;2030;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Celtic Sea Array;51,6;-7,6;;Ireland;2030;1200;null;null;null;25;null;null;null;null;null;null;null;null;null;null;null;null;null
Baltic Power;55,1;17,5;;Poland;2026;1140;Vestas V236-15.0 MW;Monopile;40;23;PLN 10 billion;null;null;null;null;null;null;null;null;null;null;null;null
Baltica 2;55,15;17,3;;Poland;2027;1498;Siemens Gamesa SG 14-222 DD;Monopile;25-40;40;PLN 30 billion (combined 2+3);null;null;null;null;null;null;null;null;null;null;null;null
Baltica 3;55,2;17,4;;Poland;2029;1036;null;Monopile;null;null;PLN 30 billion (combined 2+3);null;null;null;null;null;null;null;null;null;null;null;null
Baltica 1;55,05;17,45;;Poland;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
MFW Baltyk II;55,08;16,9;;Poland;2028;720;Siemens Gamesa SG 14-236 DD;Monopile;25-40;37;PLN 27 billion (combined II+III);null;null;null;null;null;null;null;null;null;null;null;null
MFW Baltyk III;55,12;16,85;;Poland;2028;720;Siemens Gamesa SG 14-236 DD;Monopile;25-40;22;PLN 27 billion (combined II+III);null;null;null;null;null;null;null;null;null;null;null;null
MFW Baltyk I;55,03;16,95;;Poland;null;1560;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
F.E.W. Baltic II;55,25;17,1;;Poland;2026;350;Siemens Gamesa SG 14-236 DD;Monopile;30-50;55;null;null;null;null;null;null;null;null;null;null;null;null;null
BC-Wind;55,18;17,2;;Poland;2028;390;14 MW class;null;null;23;EUR 2 billion;null;null;null;null;null;null;null;null;null;null;null;null
WindFloat Atlantic;41,68;-9;;Portugal;2020;25;Vestas V164-8.4 MW;Floating semi-submersible;100;20;EUR 125 million;null;null;null;null;null;null;null;null;null;null;null;null
DemoSATH;43,36;-2,88;;Spain;2022;2;2 MW turbine;Floating SATH;85;3.7;null;null;null;null;null;null;null;null;null;null;null;null;null
Granadilla Offshore;28,08;-16,53;;Spain;null;240;null;Floating;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Beleolico;40,47;18,5;;Italy;2022;30;MingYang MySE3.0-135;Monopile;4-18;3;EUR 80 million;null;null;null;null;null;null;null;null;null;null;null;25
7 Seas Med;37,2;12,5;;Italy;null;250;10 MW class;Floating TetraSpar;200-350;35;EUR 741 million;null;null;null;null;null;null;null;null;null;null;null;null
Med Wind;37,1;12,3;;Italy;null;2800;MingYang 18.8 MW;Floating;null;80;EUR 9.3 billion;null;null;null;null;null;null;null;null;null;null;null;null
Ichnusa Wind Power;39,5;8,3;;Italy;2027;504;12 MW class;Floating semi-submersible;null;40;null;null;null;null;null;null;null;null;null;null;null;null;null
Alexandroupolis;40,85;25,9;;Greece;2030;400;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
